Modifiers,Modifier Type,Modifier,Modfier Value,Unit Type,Definition,Literature Cited,CMECS Version,Component Code,Unit Code,IRI (NCEI base URL + Term ID),Unit ID,Unit Status,Type of Change,Implementation Guidance,Notes
Modifiers,Physicochemical Modifiers,Turbidity Type,Chlorophyll,CMECS Modifier Value,"Attenuation produced by chlorophyll a, b, c, or d as constituents of live phytoplankton in the water column.",,1.1.2,None,TT02,https://w3id.org/CMECS/CMECS_00001407,CMECS_00001407,Original Unit,,,
Modifiers,Physicochemical Modifiers,Turbidity Type,Colloidal Precipitates,CMECS Modifier Value,Dispersed particulates that precipitate out of the water to form aggregations such as marine snow.,,1.1.2,None,TT03,https://w3id.org/CMECS/CMECS_00001410,CMECS_00001410,Original Unit,,,
Modifiers,Physicochemical Modifiers,Turbidity Type,Mineral Precipitates,CMECS Modifier Value,Attenuation produced by suspended inorganic sediments derived from soil and rock weathering.,,1.1.2,None,TT04,https://w3id.org/CMECS/CMECS_00001512,CMECS_00001512,Original Unit,,,
Modifiers,Physicochemical Modifiers,Turbidity Type,Detritus,CMECS Modifier Value,Attenuation due to larger particles of organic detritus in suspension.,,1.1.2,None,TT05,https://w3id.org/CMECS/CMECS_00001436,CMECS_00001436,Original Unit,,,
Modifiers,Physicochemical Modifiers,Turbidity Type,Dissolved Color,CMECS Modifier Value,Substances dissolved in water that have color.,,1.1.2,None,TT06,https://w3id.org/CMECS/CMECS_00001438,CMECS_00001438,Original Unit,,,
Modifiers,Physicochemical Modifiers,Turbidity Type,Mixed Turbidity Type,CMECS Modifier Value,Attenuation due to a variety of the above sources and substances.,,1.1.2,None,TT07,https://w3id.org/CMECS/CMECS_00001517,CMECS_00001517,Original Unit,,,
Modifiers,Physicochemical Modifiers,Turbidity Provenance,,CMECS Modifier,"The provenance of the attenuating substance?whether the reduced water clarity is derived from chlorophyll pigments (e.g., phytoplankton blooms), from color due to dissolved substances in the water (e.g., gelbstoff or tannins), from imported mineral terrigenous sediments, or from carbonate particulates in resuspension—is an important qualitative characteristic of turbidity. This qualitative assessment can be used in addition to a qualitative or quantitative evaluation of the degree of turbidity in the water column.",,1.1.2,None,TP,https://w3id.org/CMECS/CMECS_00000862,CMECS_00000862,Original Unit,,,
Modifiers,Physicochemical Modifiers,Turbidity Provenance,Allochthonous,CMECS Modifier Value,Originating outside of the system and transported into the system.,,1.1.2,None,TP01,https://w3id.org/CMECS/CMECS_00001334,CMECS_00001334,Original Unit,,,
Modifiers,Physicochemical Modifiers,Turbidity Provenance,Autochthonous,CMECS Modifier Value,"Generated <in situ> by biogenic processes (e.g., phytoplankton bloom).",,1.1.2,None,TP02,https://w3id.org/CMECS/CMECS_00001379,CMECS_00001379,Original Unit,,,
Modifiers,Physicochemical Modifiers,Turbidity Provenance,Marine Origin,CMECS Modifier Value,"Materials, water, or energy originating in the ocean.",,1.1.2,None,TP03,https://w3id.org/CMECS/CMECS_00001499,CMECS_00001499,Original Unit,,,
Modifiers,Physicochemical Modifiers,Turbidity Provenance,Precipitated,CMECS Modifier Value,Solutes such as calcium carbonate that precipitate out of solution.,,1.1.2,None,TP04,https://w3id.org/CMECS/CMECS_00001552,CMECS_00001552,Original Unit,,,
Modifiers,Physicochemical Modifiers,Turbidity Provenance,Resuspended,CMECS Modifier Value,"Deposited materials mixed into the water column by currents (e.g., bottom sediments).",,1.1.2,None,TP05,https://w3id.org/CMECS/CMECS_00001558,CMECS_00001558,Original Unit,,,
Modifiers,Physicochemical Modifiers,Turbidity Provenance,Terrigenous Origin,CMECS Modifier Value,"Materials, water, or energy in a water body resulting from land drainage or wind deposits.",,1.1.2,None,TP06,https://w3id.org/CMECS/CMECS_00001592,CMECS_00001592,Original Unit,,,
Modifiers,Physicochemical Modifiers,Water Column Stability Regime,,CMECS Modifier,"Water column stability can be characterized as stratified, partially mixed, and well-mixed. This structure is defined by density differentials from bottom to surface, as shown in the table below. Water Column Stability is assessed using the more universally applied delta Sigma-t to calculate stability, which incorporates salinity, temperature into the calculation of density and adjusts for adiabatic effects (Pond and Pickard 1983). The Stability Regime modifier compares the calculated delta Sigma-t, or the relative density of two water parcels by subtraction of the density of the surface layer from the density of the deeper layer. If the density difference equals or exceeds 0.125, the water column is considered to be vertically stable; if it differs by less than 0.125, and density is homogeneous between the upper and lower layers, the water column is classified as well-mixed. If the density difference is less than 0.125 and variable between the two layers, the water column is classified as partially mixed.","Pond, S. and G. L. Pickard. 1983. Dynamical Oceanography. Pergamon Press. 320 pp.",1.1.2,None,WCS,https://w3id.org/CMECS/CMECS_00000896,CMECS_00000896,Original Unit,,,
Modifiers,Physicochemical Modifiers,Water Column Stability Regime,Partially Stratified,CMECS Modifier Value,Less than 0.125 delta Sigma-t and variable,,1.1.2,None,WCS01,https://w3id.org/CMECS/CMECS_00001542,CMECS_00001542,Original Unit,,,
Modifiers,Physicochemical Modifiers,Water Column Stability Regime,Stratified,CMECS Modifier Value,Greater than or equal to 0.125 delta Sigma-t,,1.1.2,None,WCS02,https://w3id.org/CMECS/CMECS_00001585,CMECS_00001585,Original Unit,,,
Modifiers,Physicochemical Modifiers,Water Column Stability Regime,Well-Mixed,CMECS Modifier Value,Less than 0.125 delta Sigma-t and homogeneous,,1.1.2,None,WCS03,https://w3id.org/CMECS/CMECS_00001621,CMECS_00001621,Original Unit,,,
Modifiers,Spatial Modifiers,,,CMECS Modifier Type,,,1.1.2,None,None,https://w3id.org/CMECS/CMECS_00000782,CMECS_00000782,Original Unit,,,
Modifiers,Spatial Modifiers,Benthic Depth Zone,,CMECS Modifier,"The depths of benthic zones vary depending on regional geology and turbidity. It is often useful to describe a specific depth or range of depths for the bottom, and the CMECS Benthic Depth Zone Modifiers represent the major divisions in a gradient from land to the deep ocean bottom. They are generally based on the zones in which surf or ocean swell influences bottom communities, lower limits of vegetation (such as kelp), overall photic availability, and temperature. The zones within this category are drawn or adapted from Greene et al. (2007) and Connor (1997).","Greene, H. G., J. J. Bizzarro, V. M. O’Connell, and C. K. Brylinsky. 2007. “Construction of Digital Potential Marine Benthic Habitat Maps Using a Coded Classification Scheme and Its Applications.” In Mapping the Seafloor for Habitat Characterization, 141–155. Special Paper 47. Edited by B. J. Todd and H. G. Greene. Geological Association of Canada.|Connor, D. W. 1997. Marine Biotope Classification for Britain and Ireland. Peterborough, UK: Joint Nature Conservation Review.",1.1.2,None,BDZ,https://w3id.org/CMECS/CMECS_00000096,CMECS_00000096,Original Unit,,,
Modifiers,Spatial Modifiers,Benthic Depth Zone,Littoral,CMECS Modifier Value,Intertidal,,1.1.2,None,BDZ01,https://w3id.org/CMECS/CMECS_00000474,CMECS_00000474,Original Unit,,,
Modifiers,Spatial Modifiers,Benthic Depth Zone,Shallow Infralittoral,CMECS Modifier Value,0 to less than 5 meters,,1.1.2,None,BDZ02,https://w3id.org/CMECS/CMECS_00000737,CMECS_00000737,Original Unit,,,
Modifiers,Spatial Modifiers,Benthic Depth Zone,Deep Infralittoral,CMECS Modifier Value,5 to less than 30 meters,,1.1.2,None,BDZ03,https://w3id.org/CMECS/CMECS_00000229,CMECS_00000229,Original Unit,,,
Modifiers,Spatial Modifiers,Benthic Depth Zone,Circalittoral,CMECS Modifier Value,30 to less than 200 meters,,1.1.2,None,BDZ04,https://w3id.org/CMECS/CMECS_00000155,CMECS_00000155,Original Unit,,,
Modifiers,Spatial Modifiers,Benthic Depth Zone,Mesobenthic,CMECS Modifier Value,"200 to less than 1,000 meters",,1.1.2,None,BDZ05,https://w3id.org/CMECS/CMECS_00000533,CMECS_00000533,Original Unit,,,
Modifiers,Spatial Modifiers,Benthic Depth Zone,Bathybenthic,CMECS Modifier Value,"1,000 to less than 4,000 meters",,1.1.2,None,BDZ06,https://w3id.org/CMECS/CMECS_00000086,CMECS_00000086,Original Unit,,,
Modifiers,Spatial Modifiers,Benthic Depth Zone,Abyssalbenthic,CMECS Modifier Value,"4,000 to less than 6,000 meters",,1.1.2,None,BDZ07,https://w3id.org/CMECS/CMECS_00000002,CMECS_00000002,Original Unit,,,
Modifiers,Spatial Modifiers,Benthic Depth Zone,Hadalbenthic,CMECS Modifier Value,"Greater than or equal to 6,000 meters",,1.1.2,None,BDZ08,https://w3id.org/CMECS/CMECS_00000405,CMECS_00000405,Original Unit,,,
Modifiers,Spatial Modifiers,Co-occurring Elements,Descriptive,CMECS Modifier,"Nature is inherently a mixture or a continuum. CMECS provides an ecologically meaningful methodology to classify nature into discrete environmental types using consistent threshold values that define primary classification units. However, in natural coastal and marine settings, less abundant, co-occurring (or secondary) features are frequently mixed into these primary classification types at some level beneath a classification threshold. Therefore, these co-occurring features are not recognized in the syntax of the primary classification. In some situations, project goals may require identification of these co-occurring features and associated taxa. In other situations, identification of co-occurring materials, taxa, or mixes may detract from project goals.
CMECS provides a modifier, Co-occurring Elements, for identification of secondary CMECS classification units that are mixed into a primary classification unit at a level below the classification threshold. Co-occurring Elements are used in the hierarchical Biotic and Substrate Components when the primary feature and the co-occurring feature are both units in that same Component. More information and examples of Co-occurring Elements can be found on page 213.",,1.1.2,None,CoE,https://w3id.org/CMECS/CMECS_00001434,CMECS_00001434,Original Unit,,,
Modifiers,Spatial Modifiers,Coral Reef Zone,,CMECS Modifier,"All coral reef environments contain distinct horizontal and vertical zones created by differences in depth, morphology, wave and current energy, temperature, and light. The following zones are commonly present on shallow and mesophotic reefs (Zitello et al. 2009).","Zitello, A. G., L. J. Bauer, T. A. Battista, P. W. Mueller, M. S. Kendall, and M. E. Monaco. 2009. Shallow-Water Benthic Habitats of St. John, U.S. Virgin Islands. National Oceanic and Atmospheric Administration Technical Memorandum NOS NCCOS 96. Silver Spring, MD: National Oceanic and Atmospheric Administration.",1.1.2,None,CRZ,https://w3id.org/CMECS/CMECS_00000199,CMECS_00000199,Original Unit,,,
Modifiers,Spatial Modifiers,Coral Reef Zone,Back Reef (Coral Reef Zone),CMECS Modifier Value,Area between the seaward edge of a lagoon floor and the landward edge of a reef crest. This zone is present only when a reef crest exists.,,1.1.2,None,CRZ01,https://w3id.org/CMECS/CMECS_00001380,CMECS_00001380,Original Unit,,,
Modifiers,Spatial Modifiers,Coral Reef Zone,Bank/Shelf (Coral Reef Zone),CMECS Modifier Value,"Deeper water area (usually > 30 meters) extending offshore from the seaward edge of the fore reef (or shoreline) to the beginning of the bank/shelf escarpment where the insular shelf drops off into deep, oceanic water.",,1.1.2,None,CRZ02,https://w3id.org/CMECS/CMECS_00001382,CMECS_00001382,Original Unit,,,
Modifiers,Spatial Modifiers,Coral Reef Zone,Bank/Shelf Escarpment (Coral Reef Zone),CMECS Modifier Value,"The edge of the bank/shelf where depth increases rapidly into deep oceanic water. This zone begins at approximately 20-30 meters depth, near the depth limit of features visible in aerial images. This zone extends well into depths exceeding those that can be seen on aerial photos, and this zone is intended to capture the transition from the bank/shelf to deep waters of the open ocean.",,1.1.2,None,CRZ03,https://w3id.org/CMECS/CMECS_00001383,CMECS_00001383,Original Unit,,,
Modifiers,Spatial Modifiers,Coral Reef Zone,Fore Reef (Coral Reef Zone),CMECS Modifier Value,Area from the seaward edge of the reef crests (which slopes into deeper water) to the landward edge of the bank/shelf platform. Features not forming an emergent reef crest- but still having a seaward-facing slope that is significantly greater than the slope of the bank/shelf- are also designated as forereef.,,1.1.2,None,CRZ04,https://w3id.org/CMECS/CMECS_00001460,CMECS_00001460,Original Unit,,,
Modifiers,Spatial Modifiers,Coral Reef Zone,Lagoon (Coral Reef Zone),CMECS Modifier Value,"Shallow area (relative to the deeper water of the bank/shelf) between the shoreline intertidal zone and a back reef or barrier island. This zone is protected from the high-energy waves commonly experienced on the bank/shelf and reef crest. If no reef crest is present, there is no lagoon zone.",,1.1.2,None,CRZ05,https://w3id.org/CMECS/CMECS_00001489,CMECS_00001489,Original Unit,,,
Modifiers,Spatial Modifiers,Coral Reef Zone,Reef Crest (Coral Reef Zone),CMECS Modifier Value,"The flattened, emergent (especially during low tides) or nearly emergent segment of a reef. This zone lies between the back reef and fore reef zones. In aerial images, breaking waves will often be visible at the seaward edge of this zone.",,1.1.2,None,CRZ06,https://w3id.org/CMECS/CMECS_00001556,CMECS_00001556,Original Unit,,,
Modifiers,Spatial Modifiers,Coral Reef Zone,Reef Flat (Coral Reef Zone),CMECS Modifier Value,Shallow (semi-exposed) area between the shoreline intertidal zone and the reef crest of a fringing reef. This zone is protected from the high-energy waves commonly experienced on the shelf and reef crest. Reef flat is typically not present if there is a lagoon zone.,,1.1.2,None,CRZ07,https://w3id.org/CMECS/CMECS_00001557,CMECS_00001557,Original Unit,,,
Modifiers,Spatial Modifiers,Coral Reef Zone,Ridges and Swales (Coral Reef Zone),CMECS Modifier Value,"An area of numerous thin, narrow, discontinuous bands of coral ridges and leeward sand- and sediment-filled swales. Debris and reef-rubble fields behind many of the reefs may obscure these margin-parallel seabed features. In Florida, for example, this zone extends for an estimated 200 kilometers along the Florida shelf (from Key Largo to Halfmoon Shoal), and it is discontinuous due to (a) topography, (b) inconsistent responses of coral reefs to changing sea levels, and (c) varying effects of the physical environment on reefs and sediments.",,1.1.2,None,CRZ08,https://w3id.org/CMECS/CMECS_00001559,CMECS_00001559,Original Unit,,,
Modifiers,Spatial Modifiers,Coral Reef Zone,Shoreline/Intertidal (Coral Reef Zone),CMECS Modifier Value,Area between the mean high water line (or the landward edge of emergent vegetation- such as Red Mangrove- when present) and the lowest spring tide level (excluding emergent segments of barrier reefs).,,1.1.2,None,CRZ09,https://w3id.org/CMECS/CMECS_00001573,CMECS_00001573,Original Unit,,,
Modifiers,Spatial Modifiers,Coral Reef Zone,Vertical Wall (Coral Reef Zone),CMECS Modifier Value,"Area with near-vertical slope from the shore to the shelf (or shelf escarpment). This zone is typically narrow and may not be distinguishable in remotely gathered imagery; however, it is included because it is recognized as a biologically important feature.",,1.1.2,None,CRZ10,https://w3id.org/CMECS/CMECS_00001606,CMECS_00001606,Original Unit,,,
Modifiers,Spatial Modifiers,Enclosure,,CMECS Modifier,"Enclosure represents the degree of isolation of a water body from other waters because of enclosure by a land mass. In estuaries, enclosure determines the degree of exchange of water, materials, energy, and biota between the estuary and the sea. More enclosed water bodies have longer water residence times, can tend to be more evaporative and hypersaline, and can more readily trap and retain materials within them.",,1.1.2,None,E,https://w3id.org/CMECS/CMECS_00000287,CMECS_00000287,Original Unit,,,
Modifiers,Spatial Modifiers,Enclosure,Unenclosed,CMECS Modifier Value,"Greater than or equal to 150-degree angular gap from landward end of water body to seaward opening; no confining land masses (e.g., islands) within or just outside water body.",,1.1.2,None,E01,https://w3id.org/CMECS/CMECS_00000869,CMECS_00000869,Original Unit,,,
Modifiers,Spatial Modifiers,Enclosure,Partially enclosed,CMECS Modifier Value,90-degree to less than 150-degree angular gap from landward end of water body to seaward opening.,,1.1.2,None,E02,https://w3id.org/CMECS/CMECS_00000626,CMECS_00000626,Original Unit,,,
Modifiers,Spatial Modifiers,Enclosure,Significantly enclosed,CMECS Modifier Value,45-degree to less than 90-degree angular gap from landward end of water body to seaward opening.,,1.1.2,None,E03,https://w3id.org/CMECS/CMECS_00000753,CMECS_00000753,Original Unit,,,
Modifiers,Spatial Modifiers,Enclosure,Very enclosed,CMECS Modifier Value,10-degree to less than 45-degree angular gap from landward end of water body to seaward opening.,,1.1.2,None,E04,https://w3id.org/CMECS/CMECS_00000881,CMECS_00000881,Original Unit,,,
Modifiers,Spatial Modifiers,Enclosure,Enclosed,CMECS Modifier Value,Essentially separated from the ocean; waters are completely surrounded by land or with a narrow channel connection to the sea. This category includes perched estuaries and lagoonal estuaries.,,1.1.2,None,E05,https://w3id.org/CMECS/CMECS_00000286,CMECS_00000286,Original Unit,,,
Modifiers,Spatial Modifiers,Enclosure,Intermittent,CMECS Modifier Value,"Class of water bodies that regularly close due to low flow, opening seasonally during high flow. Also called ICOLL (Intermittently Closed and Open Lake or Lagoon).",,1.1.2,None,E06,https://w3id.org/CMECS/CMECS_00000437,CMECS_00000437,Original Unit,,,
Modifiers,Spatial Modifiers,Percent Cover Range,,CMECS Modifier,"To classify a unit to the class and subclass level of the Biotic Component, a user needs to know the relative percent cover of each of the components of the substrate. The degree of substrate cover for each biotic feature is assessed using the following ranges. These categories can also be used as a modifier to describe the density of vegetation (such as seagrasses) or other substrate components, and are useful in the Substrate component as well. Coarse Percent Cover can be described using one of five coarse descriptors, e.g., ""Sparse"", or, if greater detail is needed, Fine Percent Cover can be described using one of eleven range categories, e.g., ""10 to less than 20%"".",,1.1.2,None,PC,https://w3id.org/CMECS/CMECS_00001632,CMECS_00001632,Original Unit,,,
Modifiers,Spatial Modifiers,Percent Cover Range,Fine Percent Cover Range,CMECS Modifier Value,"Fine Percent Cover can be described using one of eleven range categories, e.g., ""10 to less than 20 percent"".",,1.1.2,None,None,https://w3id.org/CMECS/CMECS_00000342,CMECS_00000342,Original Unit,,,
Modifiers,Spatial Modifiers,Percent Cover Range,Fine Percent Cover Range,CMECS Modifier Value,Less than 1%,,1.1.2,None,PC01,https://w3id.org/CMECS/CMECS_00000468,CMECS_00000468,Original Unit,,,
Modifiers,Spatial Modifiers,Percent Cover Range,Fine Percent Cover Range,CMECS Modifier Value,1 to less than 10%,,1.1.2,None,PC02,https://w3id.org/CMECS/CMECS_00001323,CMECS_00001323,Original Unit,,,
Modifiers,Spatial Modifiers,Percent Cover Range,Fine Percent Cover Range,CMECS Modifier Value,10 to less than 20%,,1.1.2,None,PC03,https://w3id.org/CMECS/CMECS_00001324,CMECS_00001324,Original Unit,,,
Modifiers,Spatial Modifiers,Percent Cover Range,Fine Percent Cover Range,CMECS Modifier Value,20 to less than 30%,,1.1.2,None,PC04,https://w3id.org/CMECS/CMECS_00001325,CMECS_00001325,Original Unit,,,
Modifiers,Spatial Modifiers,Percent Cover Range,Fine Percent Cover Range,CMECS Modifier Value,30 to less than 40%,,1.1.2,None,PC05,https://w3id.org/CMECS/CMECS_00001326,CMECS_00001326,Original Unit,,,
Modifiers,Spatial Modifiers,Percent Cover Range,Fine Percent Cover Range,CMECS Modifier Value,40 to less than 50%,,1.1.2,None,PC06,https://w3id.org/CMECS/CMECS_00001327,CMECS_00001327,Original Unit,,,
Modifiers,Spatial Modifiers,Percent Cover Range,Fine Percent Cover Range,CMECS Modifier Value,50 to less than 60%,,1.1.2,None,PC07,https://w3id.org/CMECS/CMECS_00001328,CMECS_00001328,Original Unit,,,
Modifiers,Spatial Modifiers,Percent Cover Range,Fine Percent Cover Range,CMECS Modifier Value,60 to less than 70%,,1.1.2,None,PC08,https://w3id.org/CMECS/CMECS_00001329,CMECS_00001329,Original Unit,,,
Modifiers,Spatial Modifiers,Percent Cover Range,Fine Percent Cover Range,CMECS Modifier Value,70 to less than 80%,,1.1.2,None,PC09,https://w3id.org/CMECS/CMECS_00001330,CMECS_00001330,Original Unit,,,
Modifiers,Spatial Modifiers,Percent Cover Range,Fine Percent Cover Range,CMECS Modifier Value,80 to less than  90%,,1.1.2,None,PC10,https://w3id.org/CMECS/CMECS_00001331,CMECS_00001331,Original Unit,,,
Modifiers,Spatial Modifiers,Percent Cover Range,Fine Percent Cover Range,CMECS Modifier Value,90 to 100%,,1.1.2,None,PC11,https://w3id.org/CMECS/CMECS_00001332,CMECS_00001332,Original Unit,,,
Modifiers,Spatial Modifiers,Percent Cover Range,Coarse Percent Cover Range,CMECS Modifier Value,"Coarse Percent Cover can be described using one of five coarse descriptors, e.g., ""Sparse"".",,1.1.2,None,None,https://w3id.org/CMECS/CMECS_00000165,CMECS_00000165,Original Unit,,,
Modifiers,Spatial Modifiers,Percent Cover Range,Coarse Percent Cover Range,CMECS Modifier Value,Trace (< 1%),,1.1.2,None,None,https://w3id.org/CMECS/CMECS_00001416,CMECS_00001416,Original Unit,,,
Modifiers,Spatial Modifiers,Percent Cover Range,Coarse Percent Cover Range,CMECS Modifier Value,Sparse (1 to < 30%),,1.1.2,None,None,https://w3id.org/CMECS/CMECS_00001432,CMECS_00001432,Original Unit,,,
Modifiers,Spatial Modifiers,Percent Cover Range,Coarse Percent Cover Range,CMECS Modifier Value,Moderate (30 to < 70%),,1.1.2,None,None,https://w3id.org/CMECS/CMECS_00001520,CMECS_00001520,Original Unit,,,
Modifiers,Spatial Modifiers,Percent Cover Range,Coarse Percent Cover Range,CMECS Modifier Value,Dense (70 to < 80%),,1.1.2,None,None,https://w3id.org/CMECS/CMECS_00001580,CMECS_00001580,Original Unit,,,
Modifiers,Spatial Modifiers,Percent Cover Range,Coarse Percent Cover Range,CMECS Modifier Value,Complete (90 to 100%),,1.1.2,None,None,https://w3id.org/CMECS/CMECS_00001599,CMECS_00001599,Original Unit,,,
Modifiers,Spatial Modifiers,Elevation Profile,,CMECS Modifier,The Profile Modifier refers to the elevation of a feature relative to the surrounding level of the water or bed.,,1.1.2,None,P,https://w3id.org/CMECS/CMECS_00000282,CMECS_00000282,Original Unit,,,
Modifiers,Spatial Modifiers,Elevation Profile,None (Elevation Profile),CMECS Modifier Value,0 meters,,1.1.2,None,P01,https://w3id.org/CMECS/CMECS_00001531,CMECS_00001531,Original Unit,,,
Modifiers,Spatial Modifiers,Elevation Profile,Low (Elevation Profile),CMECS Modifier Value,0.1 to less than 2 meters,,1.1.2,None,P02,https://w3id.org/CMECS/CMECS_00001493,CMECS_00001493,Original Unit,,,
Modifiers,Spatial Modifiers,Elevation Profile,Medium (Elevation Profile),CMECS Modifier Value,2 to less than 5 meters,,1.1.2,None,P03,https://w3id.org/CMECS/CMECS_00001505,CMECS_00001505,Original Unit,,,
Modifiers,Spatial Modifiers,Elevation Profile,High (Elevation Profile),CMECS Modifier Value,Greater than or equal to  5 meters,,1.1.2,None,P04,https://w3id.org/CMECS/CMECS_00001472,CMECS_00001472,Original Unit,,,
Modifiers,Spatial Modifiers,Substrate Layering (Descriptive),,CMECS Modifier,"Although certain large fauna may penetrate several meters below the surface in soft sediments, CMECS generally considers the uppermost 15 centimeters of fine substrates, recognizing that evidence of very-deep burrowing fauna will also be present in the top 15 centimeters. The upper 15 centimeters of substrate may present as a set of horizontal layers constituting a three-dimensional matrix. A basic identification of horizontal substrate layers can be accomplished by describing the characteristics of these layers and recording the mean thickness in centimeters together with the ordering of each layer below the sediment surface. 
The structuring of distinctly layered sediments is captured in CMECS as a modifier using any SC classifiers, modifiers, or descriptors in the following format, with measurements indicating thickness or depth of the examined layers (as specified): ""Modifier: Layering – 4 centimeters (thick) Coarse Sand Layer over > 11 centimeters (thick) Sandy Silt-Clay Layer"".  More examples can be found on page 219.
The term “veneer"" may be used to describe a thin (< 1 centimeter thick) covering of one sediment type over another sediment type, ex. ""Modifier: Layering – Mud veneer over Cobbles"".",,1.1.2,None,SL,https://w3id.org/CMECS/CMECS_00000805,CMECS_00000805,Original Unit,,,
